latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
34.809,116.848,313,1.1,1,2017-04-29,03:10,T,55,6.0NRT,299,5.4
34.761,116.908,318.9,1.1,1,2017-04-29,03:10,T,47,6.0NRT,304.1,8.7
34.728,116.893,320.1,1.1,1,2017-04-29,03:10,T,50,6.0NRT,303.3,10.8
34.217,119.601,314.3,1.4,1.2,2017-04-29,03:10,T,16,6.0NRT,301,10.1
34.534,117.393,316.6,1.1,1,2017-04-29,03:10,T,53,6.0NRT,305,7.3
34.542,117.116,313.9,1.1,1,2017-04-29,03:10,T,50,6.0NRT,300.5,8
34.433,116.995,314,1.1,1,2017-04-29,03:10,T,47,6.0NRT,302,6.9
34.056,117.593,314.7,1.1,1.1,2017-04-29,03:10,T,55,6.0NRT,302.1,6.9
34.122,117.082,319.4,1.1,1,2017-04-29,03:10,T,64,6.0NRT,304.9,8.8
34.08,117.217,315.8,1.1,1,2017-04-29,03:10,T,29,6.0NRT,303.2,7.5
33.711,118.578,314.5,1.3,1.1,2017-04-29,03:10,T,49,6.0NRT,302.2,8.4
33.706,118.605,316.2,1.3,1.1,2017-04-29,03:10,T,65,6.0NRT,304,10.6
33.972,116.75,321.1,1.1,1,2017-04-29,03:10,T,50,6.0NRT,304.4,8.9
33.935,116.8,322.2,1.1,1,2017-04-29,03:10,T,61,6.0NRT,304.2,8.4
-18.271,124.756,324.6,1.2,1.1,2017-04-29,01:45,T,60,6.0NRT,284.2,18.8
-18.275,124.719,319.1,1.2,1.1,2017-04-29,01:45,T,12,6.0NRT,295.4,13.9
-18.277,124.731,363.8,1.2,1.1,2017-04-29,01:45,T,100,6.0NRT,292.7,120.6
-18.279,124.742,347.4,1.2,1.1,2017-04-29,01:45,T,94,6.0NRT,284.8,65.4
-18.359,125.168,349,1.2,1.1,2017-04-29,01:45,T,95,6.0NRT,295.7,67.2
-18.361,125.179,345.6,1.2,1.1,2017-04-29,01:45,T,94,6.0NRT,297.5,58.8
-18.37,125.178,338,1.2,1.1,2017-04-29,01:45,T,90,6.0NRT,296.8,42.3
-18.38,125.176,319.3,1.2,1.1,2017-04-29,01:45,T,76,6.0NRT,294.9,14
-18.662,124.637,315.2,1.2,1.1,2017-04-29,01:45,T,66,6.0NRT,294.8,10.3
-18.675,124.411,316.9,1.3,1.1,2017-04-29,01:45,T,68,6.0NRT,286.5,13.5
-18.677,124.423,364.3,1.3,1.1,2017-04-29,01:45,T,100,6.0NRT,289.9,131.8
-18.679,124.435,326,1.3,1.1,2017-04-29,01:45,T,75,6.0NRT,289.3,25.1
-18.683,124.459,320.5,1.3,1.1,2017-04-29,01:45,T,74,6.0NRT,288.1,19
-18.685,124.47,315.5,1.3,1.1,2017-04-29,01:45,T,66,6.0NRT,288.5,12.8
-18.741,124.436,327.5,1.3,1.1,2017-04-29,01:45,T,81,6.0NRT,295.3,26.8
-18.743,124.448,341.6,1.3,1.1,2017-04-29,01:45,T,91,6.0NRT,296.5,55.8
-18.745,124.46,322.4,1.3,1.1,2017-04-29,01:45,T,76,6.0NRT,294.2,18.9
-18.808,124.783,317.6,1.2,1.1,2017-04-29,01:45,T,68,6.0NRT,292.2,12.4
-18.81,124.794,323.5,1.2,1.1,2017-04-29,01:45,T,77,6.0NRT,291.9,19.3
-18.794,124.505,317.8,1.2,1.1,2017-04-29,01:45,T,70,6.0NRT,290.7,13.2
-18.924,125.178,321.2,1.1,1.1,2017-04-29,01:45,T,55,6.0NRT,299.8,12.5
